nombre;precio;met_pago;link;todo
Samsung Galaxy S25 Ultra 256 GB;$2.709.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-s25-ultra-256-gb/f;"Samsung Galaxy S25 Ultra 256 GB

3 colores

$2.709.999
Conexión Total
$2.439.000
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$2.015.702"
Samsung Galaxy S24 Ultra 512 GB;$3.469.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-s24-ultra-512-gb/f;"Samsung Galaxy S24 Ultra 512 GB

2 colores

$3.469.999
Hasta 12 cuotas s/int.
con tarjetas de crédito
Precio sin impto.$2.867.768"
Samsung Galaxy S24 Ultra 256 GB;$3.069.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-s24-ultra-256-gb/f;"Samsung Galaxy S24 Ultra 256 GB

2 colores

$3.069.999
Hasta 3 cuotas s/int.
con tarjetas de crédito
Precio sin impto.$2.537.190"
Samsung Galaxy S25 Ultra 512 GB;$2.939.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-s25-ultra-512-gb/f;"Samsung Galaxy S25 Ultra 512 GB

2 colores

$2.939.999
Conexión Total
$2.646.000
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$2.186.777"
Samsung Galaxy Z Fold5 256 GB;$3.299.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-z-fold5/f;"Ahora con Galaxy AI
Samsung Galaxy Z Fold5 256 GB
$3.299.999
Hasta 3 cuotas s/int.
con tarjetas de crédito
Precio sin impto.$2.727.272"
Samsung Galaxy Z Fold5 512 GB + Funda;$3.499.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-z-fold5-512-gb-funda/f;"Ahora con Galaxy AI
Samsung Galaxy Z Fold5 512 GB + Funda
$3.499.999
Hasta 3 cuotas s/int.
con tarjetas de crédito
Precio sin impto.$2.892.562"
Samsung Galaxy S24 FE 256 GB;$1.599.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-s24fe-256-gb/f;"Samsung Galaxy S24 FE 256 GB

4 colores

$1.599.999
Hasta 9 cuotas s/int.
con tarjetas de crédito
Precio sin impto.$1.322.314"
Samsung Galaxy Z Flip5 512 GB;$2.382.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-z-flip5-512-gb/f;"Ahora con Galaxy AI
Samsung Galaxy Z Flip5 512 GB
$2.382.999
Hasta 3 cuotas s/int.
con tarjetas de crédito
Precio sin impto.$1.969.421"
Samsung Galaxy Z Fold5 512 GB;$3.499.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-z-fold5-512-gb/f;"Ahora con Galaxy AI
Samsung Galaxy Z Fold5 512 GB
$3.499.999
Hasta 3 cuotas s/int.
con tarjetas de crédito
Precio sin impto.$2.892.562"
TCL 40SE 128 GB;$274.999;"Hasta 3 cuotas s/int.
con tarjetas de crédito";/celulares/tcl/tcl-40se/f;"Incluye accesorios
TCL 40SE 128 GB
$274.999
Conexión Total
$247.500
*
Hasta 3 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$204.545"
